created_at,text
2025-04-22 20:49:19+00:00,"@ksorbs @AOC Brother, she may be trying to avoid you on JetBlue or Spirit Airlines."
2025-04-22 20:39:36+00:00,"@Delta customer “service” and #diamondmedallion makes promises that Delta customer “care” refuses to honor.  I’ve had some bad #CustomerExperience’s, but this is the worst!  Callous, inconsiderate, placating.  Would you treat customers like that @SouthwestAir? @JetBlue? @united?"
2025-04-22 19:46:42+00:00,"BOS ✈️ SRQ
B6 (JetBlue) 341

So long, New England! https://t.co/deJQ1rTBzT"
2025-04-22 19:36:09+00:00,@MackinnonGoat Flying back on JetBlue from Boston lol
2025-04-22 19:35:11+00:00,"Tourism Tuesday! Montauk is magical for both local residents &amp; Long Island visitors. 📸: Megan

@aveloair @breezeairways @flyfrontier @jetblue @southwestair"
2025-04-22 19:30:05+00:00,Flying JetBlue the best Airline in America by far Golf bag No problem 😌 to go with it have a nice trip! FLY JETBLUE don't get ripped off by Southwest😢🤷‍♂️ https://t.co/pY0EuwC9E9
2025-04-22 19:27:26+00:00,@0xgaut @JetBlue are you still asking us to buy headphones in flight?
2025-04-22 19:24:50+00:00,@JetBlue The Most Amazing Airline CHRIS at the Fort Myers airport no stress even though we were Late!! Made us comfortable 🙏🏿CHRIS. Thats why I am Mosaic and only fly JetBlue 😂😍😌
2025-04-22 18:35:07+00:00,"#JetBlue isn’t just flying—it's fueling the future. ✈️🌱

Explore how the airline is investing in sustainable aviation fuel (SAF) to cut emissions and chart a climate-smart flight path. Case study: https://t.co/Rg6F4Ma3eZ

#SustainableAviation #SAF #SustainableAviation #EarthDay https://t.co/OCAWgMdabc"
2025-04-22 18:17:19+00:00,@RedSox @JetBlue Hope he does this against the mariners but they have elite starting pitching and top players ranked top 5 in walks
2025-04-22 21:04:37+00:00,JetBlue need to resume the FLL flight man
2025-04-22 21:01:46+00:00,@AS_12239 Old design on new JetBlue plane
2025-04-22 20:57:46+00:00,"Tourism Tuesday! Montauk is magical for both local residents &amp; Long Island visitors. 📸: Megan

@aveloair @breezeairways @flyfrontier @jetblue @southwestair https://t.co/nCrAFLjXfw"
2025-04-22 21:55:20+00:00,@JetBlue don’t know how much they annoyed me bey
